PCON10CD,Name,MP,Party,Type,Type,Type,Type,Type,Type,Type
,,,,All,Archaeology,Battlefield,Building or structure,Conservation area,Park and garden,Place of worship
---,---,---,---,---,---,---,---,---,---,---
E14000530,Aldershot,Leo Docherty,Con,3,0,0,2,0,0,1
E14000531,Aldridge-Brownhills,Wendy Morton,Con,0,0,0,0,0,0,0
E14000532,Altrincham and Sale West,Graham Brady,Con,0,0,0,0,0,0,0
E14000533,Amber Valley,Nigel Mills,Con,6,1,0,5,0,0,0
E14000534,Arundel and South Downs,Andrew Griffith,Con,11,4,0,1,1,1,4
E14000535,Ashfield,Lee Anderson,Con,3,1,0,0,1,1,0
E14000536,Ashford,Damian Green,Con,5,1,0,4,0,0,0
E14000537,Ashton-under-Lyne,Angela Rayner,Lab,4,0,0,0,0,0,4
E14000538,Aylesbury,Rob Butler,Con,5,4,0,0,0,1,0
E14000539,Banbury,Victoria Prentis,Con,6,1,0,1,2,0,2
E14000540,Barking,Margaret Hodge,Lab,1,1,0,0,0,0,0
E14000541,Barnsley Central,Dan Jarvis,Lab,2,1,0,0,0,0,1
E14000542,Barnsley East,Stephanie Peacock,Lab,3,1,0,1,1,0,0
E14000543,Barrow and Furness,Simon Fell,Con,9,3,0,3,2,0,1
E14000544,Basildon and Billericay,John Baron,Con,0,0,0,0,0,0,0
E14000545,Basingstoke,Maria Miller,Con,0,0,0,0,0,0,0
E14000546,Bassetlaw,Brendan Clarke-Smith,Con,16,1,0,6,1,1,7
E14000547,Bath,Wera Hobhouse,LD,5,1,0,3,0,1,0
E14000548,Batley and Spen,Kim Leadbeater,Lab,1,0,0,0,0,0,1
E14000549,Battersea,Marsha de Cordova,Lab,3,0,0,3,0,0,0
E14000550,Beaconsfield,Joy Morrissey,Con,0,0,0,0,0,0,0
E14000551,Beckenham,Bob Stewart,Con,2,1,0,1,0,0,0
E14000552,Bedford,Mohammad Yasin,Lab,2,0,0,0,1,0,1
E14000553,Bermondsey and Old Southwark,Neil Coyle,Lab,13,2,0,9,0,0,2
E14000554,Berwick-upon-Tweed,Anne-Marie Trevelyan,Con,90,74,0,12,3,1,0
E14000555,Bethnal Green and Bow,Rushanara Ali,Lab,17,1,0,9,3,0,4
E14000556,Beverley and Holderness,Graham Stuart,Con,23,20,0,2,0,0,1
E14000557,Bexhill and Battle,Huw Merriman,Con,5,1,0,3,0,0,1
E14000558,Bexleyheath and Crayford,David Evennett,Con,1,0,0,1,0,0,0
E14000559,Birkenhead,Mick Whitley,Lab,4,0,0,0,3,1,0
E14000560,"Birmingham, Edgbaston",Preet Kaur Gill,Lab,2,0,0,1,1,0,0
E14000561,"Birmingham, Erdington",Paulette Hamilton,Lab,0,0,0,0,0,0,0
E14000562,"Birmingham, Hall Green",Tahir Ali,Lab,7,0,0,3,1,1,2
E14000563,"Birmingham, Hodge Hill",Liam Byrne,Lab,1,0,0,0,0,0,1
E14000564,"Birmingham, Ladywood",Shabana Mahmood,Lab,13,0,0,4,4,0,5
E14000565,"Birmingham, Northfield",Gary Sambrook,Con,2,0,0,0,1,0,1
E14000566,"Birmingham, Perry Barr",Khalid Mahmood,Lab,3,0,0,1,1,0,1
E14000567,"Birmingham, Selly Oak",Steve McCabe,Lab,0,0,0,0,0,0,0
E14000568,"Birmingham, Yardley",Jess Phillips,Lab,2,1,0,0,1,0,0
E14000569,Bishop Auckland,Dehenna Davison,Con,21,15,0,3,1,0,2
E14000570,Blackburn,Kate Hollern,Lab,3,0,0,0,2,1,0
E14000571,Blackley and Broughton,Graham Stringer,Lab,7,0,0,2,1,0,4
E14000572,Blackpool North and Cleveleys,Paul Maynard,Con,2,0,0,1,0,0,1
E14000573,Blackpool South,Scott Lloyd Benton,Con,2,0,0,1,0,0,1
E14000574,Blaydon,Liz Twist,Lab,9,3,1,4,1,0,0
E14000575,Blyth Valley,Ian Levy,Con,6,0,0,3,1,1,1
E14000576,Bognor Regis and Littlehampton,Nick Gibb,Con,3,0,0,2,0,0,1
E14000577,Bolsover,Mark Fletcher,Con,7,2,0,2,3,0,0
E14000578,Bolton North East,Mark Logan,Con,4,0,0,0,0,0,4
E14000579,Bolton South East,Yasmin Qureshi,Lab,3,0,0,1,0,0,2
E14000580,Bolton West,Chris Green,Con,1,0,0,0,0,0,1
E14000581,Bootle,Peter Dowd,Lab,2,0,0,0,2,0,0
E14000582,Boston and Skegness,Matt Warman,Con,15,1,0,4,5,0,5
